user_id,interest,calculated_skill_score,Q1_score,Q2_score,Q3_score,Q4_score,Q5_score,Q1_response,Q2_response,Q3_response,Q4_response,Q5_response
ebcb1f00-a977-4e6e-9872-0409795d0335,Social Service,0.3,0,0,1,0.0,0,No,Low,Yes,No,Beginner
8f3202d1-fe22-4080-82b4-93d46ba69615,Business,3.8,0,0,1,1.0,0,No,Low,Yes,Yes,Beginner
22451aaa-25a2-4a16-9ac6-82915cbd31b3,Medicine,0.9,0,0,0,0.0,1,No,Low,No,No,Intermediate
33829954-f84a-44b3-bdf0-d7cfd8c4da54,Business,4.7,1,1,1,1.0,2,Yes,Medium,Yes,Yes,Advanced
824b9287-e73a-4128-aea9-63a433d08c33,Law,3.1,0,0,0,1.0,0,No,Low,No,Yes,Beginner
ff1b18e0-0bef-4cce-98da-fc5c23e22bcc,Business,3.6,0,0,1,0.0,0,No,Low,Yes,No,Beginner
0f241047-ee44-4eb2-9c5c-6c6c88bc6634,Architecture,4.3,1,0,0,1.0,0,Yes,Low,No,Yes,Beginner
ae44dfe4-2e72-4806-b648-ad6b2f5bb49a,Social Service,5.0,1,1,0,1.0,0,Yes,Medium,No,Yes,Beginner
b840bf6d-1f5b-4574-86a8-85fc36f21b61,Architecture,1.5,1,0,0,1.0,1,Yes,Low,No,Yes,Intermediate
831aff39-7e87-4289-b7c7-f14fac94092e,Coding,3.2,1,0,1,1.0,0,Yes,Low,Yes,Data,Beginner
179f4be4-54b7-4bde-b256-7361c772068a,Coding,3.0,1,0,1,1.0,2,Yes,Low,Yes,Data,Advanced
9a1c5f77-020f-47e7-a5c3-5475ac65a642,Social Service,3.7,1,2,0,1.0,1,Yes,High,No,Yes,Intermediate
f8cc8b50-a274-4d4a-aa7b-11b9c5552d65,Business,3.2,0,0,1,1.0,2,No,Low,Yes,Yes,Advanced
99c68b58-7eb4-4179-b824-87a2d8413779,Architecture,4.9,0,1,0,0.0,2,No,Medium,No,No,Advanced
30ec2001-72f5-45d7-a842-42287b53ea58,Medicine,5.0,1,2,1,1.0,1,Yes,High,Yes,Yes,Intermediate
6c59439a-b399-4020-9028-c92ef5bf553e,Law,2.5,0,1,0,1.0,0,No,Medium,No,Yes,Beginner
00de1ec1-68ca-4355-a007-4c0c5643c318,Business,0.0,1,0,0,1.0,0,Yes,Low,No,Yes,Beginner
4a4aabac-9ecb-429e-aeaf-e1de2b9a2923,Coding,3.1,0,0,0,0.8,2,No,Low,No,UI,Advanced
cb5ef900-fe7b-4710-9527-2fc535f77d19,Commerce,4.9,1,2,1,1.0,2,Yes,High,Yes,Yes,Advanced
ff16108d-1e98-4e99-9bd7-51e9141494c7,Business,0.0,0,0,0,0.0,0,No,Low,No,No,Beginner
d44baabc-bfd6-4ced-b6aa-c9fa7b60c9dd,Journalism,2.4,0,1,0,0.0,0,No,Medium,No,No,Beginner
74247a6d-033a-45e7-b857-22f26fcc2ca5,Commerce,2.2,0,1,0,1.0,1,No,Medium,No,Yes,Intermediate
56102737-ce62-4b7a-9231-62898b9a0dd6,Business,4.5,0,1,1,0.0,0,No,Medium,Yes,No,Beginner
b4fcbcd6-505d-4c51-b695-25138b230ea2,Business,3.4,1,1,1,0.0,0,Yes,Medium,Yes,No,Beginner
d654f524-15d7-4f10-82aa-df86887a3247,Business,3.8,1,0,0,1.0,2,Yes,Low,No,Yes,Advanced
650a59b6-b42f-4eb5-8052-15c12dcfbfd5,Law,4.1,0,2,1,0.0,0,No,High,Yes,No,Beginner
b5e17de4-3d75-43bc-ac25-6ffb24c62948,Social Service,3.2,0,0,1,1.0,1,No,Low,Yes,Yes,Intermediate
33ae8563-69f4-40d9-967e-f25db0a2e9c1,Journalism,2.6,1,0,1,0.0,0,Yes,Low,Yes,No,Beginner
340c4f59-13aa-434a-bd59-3372e09ac599,Coding,4.7,0,1,0,0.8,1,No,Medium,No,UI,Intermediate
fb7c3619-d682-4f0d-8017-c9cc60ec5da2,Social Service,2.2,1,2,0,0.0,1,Yes,High,No,No,Intermediate
c4971560-15db-4f04-9464-c5cb0946404e,Architecture,0.0,0,0,0,0.0,0,No,Low,No,No,Beginner
552ff0be-4423-4f96-bb5a-0728d8ec3ef5,Architecture,4.3,1,2,1,0.0,1,Yes,High,Yes,No,Intermediate
6edafbb0-1be5-4c25-831d-a31533726ae9,Commerce,2.9,1,2,1,1.0,2,Yes,High,Yes,Yes,Advanced
9663dbc1-4fc8-4644-b330-a4a9d2635df6,Law,3.1,1,0,0,1.0,0,Yes,Low,No,Yes,Beginner
bdeeb14d-eae2-42c3-ac36-e6f5680b7a15,Business,4.3,0,2,0,1.0,2,No,High,No,Yes,Advanced
5e375f1e-45eb-420b-aec7-4aa964f15640,Commerce,2.7,0,2,1,0.0,2,No,High,Yes,No,Advanced
c360e6ee-abc4-4e8f-907c-75a97ccd03b6,Social Service,1.8,0,1,1,0.0,0,No,Medium,Yes,No,Beginner
0d97cdc6-106d-4a28-b43a-d853a2e04326,Medicine,5.0,0,0,1,0.0,1,No,Low,Yes,No,Intermediate
8a9aae15-fb05-4dfd-8f26-f8e0f45c0dce,Commerce,4.8,1,2,0,0.0,2,Yes,High,No,No,Advanced
f6c23453-aeb4-44b3-ac1a-5e71880c01fb,Journalism,5.0,1,2,1,0.0,2,Yes,High,Yes,No,Advanced
6e1bb202-a47d-48cc-af9e-8d738fe8214b,Law,3.8,0,1,1,1.0,2,No,Medium,Yes,Yes,Advanced
037594d5-dfb8-45ef-a169-67579a2da155,Medicine,4.9,1,0,1,1.0,2,Yes,Low,Yes,Yes,Advanced
4d8f37c7-f314-4b37-a45b-81ac5abe0b54,Commerce,4.0,0,2,1,1.0,1,No,High,Yes,Yes,Intermediate
a76d1103-18df-4271-a972-56de857d5a17,Medicine,4.8,1,2,1,1.0,2,Yes,High,Yes,Yes,Advanced
1223e1ca-76e3-444e-8acc-e2b41f3ee6a3,Architecture,5.0,1,2,1,1.0,2,Yes,High,Yes,Yes,Advanced
b44b4b68-f097-48e1-a5db-8240677b1518,Social Service,1.0,1,0,0,0.0,0,Yes,Low,No,No,Beginner
3226dc8a-a0b1-4593-8b98-07103db02143,Journalism,3.1,0,2,0,0.0,0,No,High,No,No,Beginner
0e894e53-572b-4eec-9575-30fdc1e42284,Journalism,2.0,1,1,1,0.0,1,Yes,Medium,Yes,No,Intermediate
9a8c3f97-6f9f-4887-84c9-a10699edb3b0,Business,2.7,1,2,1,1.0,2,Yes,High,Yes,Yes,Advanced
9b2c7735-2594-4496-a9c6-c6b87a669bee,Journalism,5.0,1,1,1,0.0,0,Yes,Medium,Yes,No,Beginner
be6f8d61-3755-4b07-95c2-eaafc46f5811,Social Service,5.0,1,2,1,1.0,0,Yes,High,Yes,Yes,Beginner
dcf532b2-c79d-4b34-8c26-3fd9415f34d0,Business,0.7,0,0,0,0.0,0,No,Low,No,No,Beginner
0df33c6b-d37d-40ad-95bd-45c5190da66e,Social Service,1.3,0,0,1,0.0,0,No,Low,Yes,No,Beginner
f91ae686-88e4-4e7f-98e3-bdeb8c2a27d1,Coding,4.0,1,2,0,1.0,2,Yes,High,No,Data,Advanced
b592bc2d-3198-4acc-8f3c-4e9c5c5fc81a,Law,4.6,1,1,0,1.0,1,Yes,Medium,No,Yes,Intermediate
e859737b-da60-4a9d-afef-508aeae66f4f,Medicine,2.9,0,0,0,0.0,2,No,Low,No,No,Advanced
8809a0f5-3192-4553-926c-c623d4ca8404,Coding,4.0,1,0,1,1.0,2,Yes,Low,Yes,Data,Advanced
2a113671-5ca9-409c-8f77-800d022b9ba4,Journalism,3.2,1,0,1,0.0,1,Yes,Low,Yes,No,Intermediate
123e5458-d9b4-4de1-9262-0910a19e0dda,Business,4.2,0,2,0,0.0,2,No,High,No,No,Advanced
